rank,amfi_code,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,dd_start,dd_end,tracking_error_nifty100,tracking_error_nifty50,expense_ratio_pct,scheme_name,cagr_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
12,149324,0.6513871892998797,0.27000426614519246,0.2791743018490922,0.9497958246616031,1.6197931764914093,0.3005787817097677,0.011455159960520708,-0.31171900300634214,2024-05-03,2025-01-03,0.27917030841826745,0.2717887721093627,1.52,DSP Small Cap Fund - Regular - Growth,76.92307692307693,69.23076923076923,97.43589743589743,34.61538461538461,7.6923076923076925,65.83333333333334
13,118632,0.339810484550213,0.22652359830098634,0.2088111809083788,1.0816591793457042,1.850132546855726,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,2024-01-02,2024-07-19,0.19211519250390102,0.18806323287107515,1.51,Nippon India Large Cap Fund - Regular - Growth,66.66666666666666,82.05128205128204,74.35897435897436,39.743589743589745,43.58974358974359,65.7051282051282
14,119552,0.05706100044974027,0.16267372294624916,0.18713118910689763,0.9532794968660104,1.609776489628308,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,2024-05-21,2024-09-02,0.19212721030300678,0.19142791209304316,0.66,SBI Bluechip Fund - Direct Plan - Growth,43.58974358974359,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,65.12820512820512
15,125497,0.2867535802656873,0.18434488610520172,0.16555918956858906,0.7757902498211205,1.3306512447571364,0.17729754927531766,0.04882040425957739,-0.15200013055606398,2023-12-22,2025-01-01,0.19107208897596129,0.19558883044029257,0.92,HDFC Top 100 Fund - Direct Plan - Growth,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666666,56.41025641025641,58.205128205128204
16,118635,0.22493224932249345,0.20008208380471482,0.13914386506748544,0.664856998549062,1.137976718780742,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,2022-01-03,2022-06-09,0.18307639338664936,0.18403823855443657,0.89,Nippon India ETF Nifty 50 BeES,58.97435897435898,53.84615384615385,43.58974358974359,69.23076923076923,76.92307692307693,57.948717948717956
17,118633,0.25539980483954094,0.2108997654925684,0.14188358083768593,0.6452074382933215,1.154475716923624,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,2023-10-30,2024-02-29,0.19344939246000745,0.1889792452699148,0.72,Nippon India Large Cap Fund - Direct - Growth,64.1025641025641,48.717948717948715,46.15384615384615,88.46153846153845,35.8974358974359,57.5
18,102885,0.20207703983094838,0.1966726206830185,0.1587882255741997,0.8170993373494367,1.4357420130649492,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,2022-02-03,2022-03-29,0.18368034296960942,0.1819256550225138,1.57,UTI Nifty 50 Index Fund - Regular - Growth,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385
19,120503,0.08489081269294418,0.13978381933703043,0.16355566129520227,0.7979728586052847,1.3379431500669237,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,2023-09-19,2023-11-09,0.19294776031543664,0.1896590193077161,1.42,ICICI Pru Bluechip Fund - Regular - Growth,38.46153846153847,58.97435897435898,58.97435897435898,51.28205128205128,66.66666666666666,52.43589743589744
20,148568,0.14269394138778924,0.14748035533586012,0.1956595954624316,0.9262873467360144,1.632740977873516,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,2023-09-05,2024-01-24,0.20321345225145676,0.2008999880482114,1.52,Mirae Asset Emerging Bluechip Fund - Regular - Growth,41.02564102564102,64.1025641025641,66.66666666666666,34.61538461538461,53.84615384615385,52.243589743589745
21,120506,0.4181904829701364,0.1842199653744454,0.1488859671244569,0.6488787755249532,1.0958951614736467,0.1625385327998104,0.04189646272811977,-0.1982565826298267,2023-03-31,2023-08-14,0.19600483949857456,0.19538101900066449,1.41,ICICI Pru Value Discovery Fund - Regular - Growth,51.28205128205128,51.28205128205128,51.28205128205128,53.84615384615385,33.33333333333333,49.87179487179487
22,120507,0.0742505077613469,0.07394286300360076,0.06341690270358713,0.4957233929533123,1.0521238822609291,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,2025-10-16,2025-10-20,0.1290435755950335,0.12891203253670383,0.74,ICICI Pru Liquid Fund - Regular - Growth,28.205128205128204,43.58974358974359,23.076923076923077,84.61538461538461,100.0,46.666666666666664
23,119093,0.197667410165155,0.20816771175535864,0.06917406025598449,0.12961449795669328,0.22108683979276353,0.08232801295222093,0.02588321244009315,-0.21751396370148224,2022-02-24,2023-05-22,0.1878998377218692,0.19075894372876365,0.75,Axis Bluechip Fund - Direct - Growth,61.53846153846154,28.205128205128204,30.76923076923077,82.05128205128204,23.076923076923077,46.28205128205128
24,102887,0.135831349444816,0.25556187904126526,0.146781096489218,0.6195175900829828,1.0887552508030016,0.16211256794033255,0.016682689437770827,-0.21539827112383225,2022-01-03,2022-07-04,0.20221623215661824,0.20015214792296357,1.64,UTI Flexi Cap Fund - Regular - Growth,69.23076923076923,46.15384615384615,48.717948717948715,1.282051282051282,25.64102564102564,44.80769230769231
25,149322,0.1811115252275146,0.18044206486636138,0.11695026862847113,0.46403744922047774,0.7621288703723166,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,2022-01-03,2022-02-04,0.19326406331048715,0.1914896531862072,1.54,DSP Top 100 Equity Fund - Regular - Growth,48.717948717948715,38.46153846153847,41.02564102564102,24.358974358974358,61.53846153846154,42.24358974358974
26,125498,0.15443720834451846,0.11245222866621418,0.09880199138430035,0.30061192104254786,0.5088128197169232,0.11989100971217971,0.009054412621739154,-0.21117279560132118,2025-04-04,2025-09-12,0.2235920824296721,0.22550130953132763,0.78,HDFC Mid-Cap Opportunities Fund - Direct - Growth,35.8974358974359,33.33333333333333,35.8974358974359,76.92307692307693,28.205128205128204,40.641025641025635
27,120844,0.07120323042122512,0.06695971624586994,0.060604313665645115,-0.08874729621557288,-0.1877230477424223,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,2024-04-12,2024-04-30,0.12904556781048557,0.12878471680551148,0.6,Kotak Liquid Fund - Regular - Growth,25.64102564102564,15.384615384615385,20.51282051282051,94.87179487179486,97.43589743589743,39.61538461538461
28,120841,0.16837098075385626,0.1726727508371786,0.1181544242649819,0.4942725378672349,0.8625738849916581,0.13042924450705445,0.036356399022199795,-0.1757361416468729,2024-01-09,2025-02-14,0.18311878418576322,0.18249385340835586,1.59,Kotak Bluechip Fund - Regular - Growth,46.15384615384615,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,37.82051282051282
29,118634,0.15811221971300937,0.08007927728656083,0.14274127320122987,0.44843400890899127,0.7460146308533572,0.1750072167561127,0.1034966369133759,-0.2334488614483311,2025-04-09,2026-02-20,0.2772863739829558,0.2827858263361039,1.53,Nippon India Small Cap Fund - Regular - Growth,33.33333333333333,35.8974358974359,56.41025641025641,29.48717948717949,20.51282051282051,36.73076923076923
30,118636,0.10454939683040276,0.040622050237771434,0.046639279794601585,-0.35662950751436784,-0.6135251287271023,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,2023-02-09,2024-02-09,0.1347582682889032,0.1357435518460494,0.55,Nippon India Gilt Securities Fund - Regular - Growth,17.94871794871795,5.128205128205128,12.82051282051282,100.0,87.17948717948718,32.94871794871795
31,119120,0.055219955107626895,0.05840358798463097,0.051644356698553606,-0.22657538662791576,-0.37676700817066683,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,2024-09-16,2025-04-01,0.13564645267040476,0.13316665157240587,0.77,SBI Magnum Gilt Fund - Regular Plan - Growth,20.51282051282051,7.6923076923076925,15.384615384615385,79.48717948717949,89.74358974358975,32.05128205128205
32,101208,0.0723664530138024,0.06315784491375509,0.05705734207350055,-0.8155673679088263,-1.681037866751281,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,2023-09-05,2023-09-12,0.1289568921773665,0.12860149861648815,0.79,ABSL Liquid Fund - Regular - Growth,23.076923076923077,0.0,17.94871794871795,74.35897435897436,94.87179487179486,31.153846153846153
33,100025,0.03704968580461343,0.039163899571040384,0.03912652604315703,-0.5670947928476846,-0.9418212366054204,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,2023-05-23,2023-07-28,0.1345351441558559,0.13644549287362784,0.56,HDFC Short Term Debt Fund - Regular - Growth,15.384615384615385,2.564102564102564,5.128205128205128,97.43589743589743,92.3076923076923,30.128205128205124
34,120842,0.2250195657587366,0.07756003551327284,0.05873842419478348,0.07599984804658923,0.12469346986475674,0.0780443887615508,0.01805687420811816,-0.24003511326274884,2023-11-09,2024-10-17,0.21916937594238353,0.2203571856061386,1.56,Kotak Emerging Equity Fund - Regular - Growth,30.76923076923077,25.64102564102564,28.205128205128204,17.94871794871795,17.94871794871795,25.76923076923077
35,119599,0.1394780335518997,-0.01337386614488112,0.01805621440370042,-0.05718662582817995,-0.09438726129459606,0.048824215945539845,0.06200180438267168,-0.5257422117012851,2023-01-17,2025-10-28,0.2771351379626376,0.280273404219026,0.72,SBI Small Cap Fund - Direct Plan - Growth,5.128205128205128,20.51282051282051,10.256410256410255,88.46153846153845,0.0,21.987179487179485
36,119092,0.016091186722522632,0.005258871209757432,0.055825550357928355,0.03078485095458594,0.05257398559304803,0.0689952982167755,0.009730745001153637,-0.1440161790933726,2023-10-12,2025-02-07,0.18908165842556626,0.19148904585183743,1.64,Axis Bluechip Fund - Regular - Growth,10.256410256410255,23.076923076923077,25.64102564102564,1.282051282051282,64.1025641025641,20.576923076923077
37,101207,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,0.16266076928646772,0.27664379626092334,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,2024-11-21,2026-05-11,0.2921174251929163,0.2916999439531875,1.53,ABSL Small Cap Fund - Regular - Growth,2.564102564102564,30.76923076923077,33.33333333333333,29.48717948717949,5.128205128205128,20.064102564102562
38,119095,-0.427976145588544,-0.11705806723995271,0.013376247776951455,-0.0759735711747892,-0.12818559275851926,0.048015953637759554,-0.066951174639292,-0.5167775370852656,2025-05-22,2026-05-11,0.2857813336985091,0.28098017915192963,1.38,Axis Small Cap Fund - Regular - Growth,0.0,17.94871794871795,7.6923076923076925,58.97435897435898,2.564102564102564,15.128205128205128
39,100016,-0.02224270997710287,0.01292649342495622,0.023168434686413164,-0.20151706755966936,-0.3510474601523089,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,2022-03-30,2022-09-15,0.19928360293890288,0.19641644012403175,1.55,HDFC Top 100 Fund - Regular Plan - Growth,12.82051282051282,12.82051282051282,2.564102564102564,20.51282051282051,15.384615384615385,12.179487179487179
40,102886,-0.16797480944407306,-0.007674063178547241,0.010303498015576507,-0.20583160785470309,-0.34722230254727265,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,2025-01-07,2026-04-27,0.22560814215136638,0.2268889829315837,1.51,UTI Mid Cap Fund - Regular - Growth,7.6923076923076925,10.256410256410255,0.0,39.743589743589745,12.82051282051282,12.115384615384613
